tag,name,trophies,explevel,arena,clan
#YQVCGQ8C8,MaaD.,7270,61,Dragon Spa,No Clan
#V9U9LQJ02,✨火王Fireking✨,10000,76,Lumberlove Cabin,昨夜烟雨一笑间［分部］
#V8ULJYCP8,GOP丨微风の回响✨奶茶,10736,71,Royal Road,Pl don't be sad
#U8RYGC8GU,Polaris,11500,75,Summit of Heroes,Good Manners
#R2RR9J08,T-Bag,10000,77,Lumberlove Cabin,No Clan
#RUQ0JU2P,Asaf,10000,78,Lumberlove Cabin,No Clan
#L8999VJC,CODE: Hypno,11428,78,Musketeer Street,Good Manners
#C89G2280Q,列车❄️チルノ,10000,67,Lumberlove Cabin,从零开始的异世界✨
#220J8JRJ,KING がぼ,11614,81,Summit of Heroes,Maratonci
#QPG2CPCY8,⚡️youness36⚡️,10000,66,Legendary Arena,No Clan
#V02VR8JVP,Turi✨shiimy’宙斯,6579,63,Silent Sanctuary,TwitchTouristCR
#22Q8LLU8J,kodigogg,11500,81,Summit of Heroes,No Clan
#UC0QJ2CU9,Hypno ❤️ Nermin,10018,68,Lumberlove Cabin,QuantuM FluX
#UJU9UUJLC,skill issue ni,10030,60,Lumberlove Cabin,QuantuM FluX
#8VJ80YQGG,[ Jandro TC ],11500,78,Summit of Heroes,Clandro TC
#LJQVVVQGR,REV I Mateja,10206,72,Lumberlove Cabin,twitch live
#J8YY8G9Y8,✨快大｜Shine✨✨,10180,69,Lumberlove Cabin,! The Envied
#U9VVGU229,Defineci✨马巴,10120,63,Lumberlove Cabin,Systematic
#P8LRG9UP,✖HuntER™,10120,81,Lumberlove Cabin,! ShocK-13 !
#YC98UYCV,Morter,7923,76,Boot Camp,dixon mckinley
#U9UG9UUV0,WL✨Mohamed✨奶茶,9101,69,Valkalla,Good Manners
#C00CRGG2P,Lens,10000,74,Lumberlove Cabin,CZ ARMY
#90288UPQ0,✨ Black Adam ✨,11241,78,Musketeer Street,WClash N 2nd St
#PL9L0UYC,Kazuha,10000,67,Legendary Arena,No Clan
#99RU2GQV0,Nova I FURIOUS™,10268,68,Lumberlove Cabin,No Clan
